run,format,precision,map50,map50_95,size_mb,note
poc-v2-480,torch,fp32,0.995,0.8417058291190979,5.469,27s
poc-v2-480,hailo,int8,0.995,0.851,7.682,pi
poc-v2-480,litert,fp32,0.995,0.8561998298913379,10.585,5s
poc-v2-480,litert,int8,0.9550178126498716,0.7296658463205662,3.031,4s
poc-v2-480,mnn,fp32,0.995,0.8523390177164697,10.447,3s
poc-v2-480,mnn,int8,0.995,0.8503728039673997,2.813,4s
poc-v2-480,ncnn,fp32,0.995,0.8582306117992717,10.480,3s
poc-v2-480,ncnn,int8,n/a,n/a,n/a,UNSUPPORTED
poc-v2-480,onnx,fp32,0.995,0.8561998298913379,10.533,4s
poc-v2-480,onnx,int8,0.995,0.8048201998676003,2.991,4s
poc-v2-480,openvino,fp32,0.995,0.8568871196828894,10.697,4s
poc-v2-480,openvino,int8,0.995,0.8241945023083694,3.342,5s
