model,dataset,format,precision,threads,artifact,median_ms,p95_ms,fps,preprocess_ms,inference_ms,postprocess_ms,size_mb,map50,map50_95,temp_start_c,temp_end_c,throttled,power_w,status
best.pt,fod-a,ncnn,fp32,4,reused,44.81,45.699,22.317,2.754,40.689,1.004,10.48,0.721,0.441,65.5,71.6,throttled=0x0,4.07,ok
best.pt,fod-a,ncnn,fp16,4,reused,44.436,44.761,22.504,2.774,40.372,1.006,5.33,0.718,0.441,65.5,72.7,throttled=0x0,3.93,ok
best.pt,fod-a,ncnn,int8,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.0,n/a,n/a,4.08,SKIPPED: Ultralytics has no int8 export path for ncnn
best.pt,fod-a,litert,fp32,4,reused,75.992,76.643,13.159,2.84,71.883,0.973,10.585,0.718,0.439,64.5,73.2,throttled=0x0,4.18,ok
best.pt,fod-a,litert,fp16,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.0,n/a,n/a,3.82,SKIPPED: Ultralytics has no fp16 export path for litert
best.pt,fod-a,litert,int8,4,reused,23.469,23.917,42.609,2.821,19.54,0.664,3.031,0.474,0.264,65.5,69.4,throttled=0x0,3.85,ok
best.pt,fod-a,mnn,fp32,4,reused,58.077,60.505,17.218,2.743,53.975,1.06,10.447,0.72,0.436,65.5,70.0,throttled=0x0,3.88,ok
best.pt,fod-a,mnn,fp16,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.5,66.1,throttled=0x0,3.87,FAILED: ModuleNotFoundError: No module named 'onnx'
best.pt,fod-a,mnn,int8,4,reused,58.237,59.151,17.171,2.884,53.996,1.055,2.813,0.739,0.46,65.5,70.0,throttled=0x0,3.82,ok
best.pt,fod-a,onnx,fp32,4,reused,91.48,105.007,10.931,4.903,84.821,1.135,10.533,0.718,0.439,65.0,77.1,throttled=0x0,3.81,ok
best.pt,fod-a,onnx,fp16,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.0,66.1,throttled=0x0,3.84,FAILED: ModuleNotFoundError: No module named 'onnx'
best.pt,fod-a,onnx,int8,4,reused,90.521,101.812,11.047,4.266,83.739,1.547,2.991,0.606,0.36,65.0,74.3,throttled=0x0,3.84,ok
best.pt,fod-a,openvino,fp32,4,reused,64.108,65.412,15.599,2.806,59.896,1.007,10.697,0.718,0.439,65.5,75.5,throttled=0x0,3.93,ok
best.pt,fod-a,openvino,fp16,4,exported,65.723,72.613,15.215,2.97,61.274,1.145,5.61,0.717,0.438,65.5,76.0,throttled=0x0,3.83,ok
best.pt,fod-a,openvino,int8,4,reused,154.058,163.0,6.491,2.841,150.001,0.691,3.342,0.69,0.428,65.5,77.1,throttled=0x0,3.93,ok
best.pt,fod-a,hailo,fp32,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.5,n/a,n/a,4.03,SKIPPED: Ultralytics has no fp32 export path for hailo
best.pt,fod-a,hailo,fp16,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.5,n/a,n/a,3.83,SKIPPED: Ultralytics has no fp16 export path for hailo
best.pt,fod-a,hailo,int8,4,reused,17.955,18.418,55.694,2.873,14.251,0.423,7.58,0.725,0.44,65.5,66.7,throttled=0x0,4.08,ok
