model,format,precision,threads,artifact,median_ms,p95_ms,fps,preprocess_ms,inference_ms,postprocess_ms,size_mb,map50,map50_95,temp_start_c,temp_end_c,throttled,power_w,status
best.pt,onnx,fp32,1,reused,47.201,55.586,21.186,2.612,42.963,0.812,10.607,0.719,0.436,n/a,n/a,n/a,n/a,ok
best.pt,onnx,int8,1,reused,43.172,58.631,23.163,2.535,39.718,0.762,3.065,0.501,0.304,n/a,n/a,n/a,n/a,ok
best.pt,openvino,fp32,1,reused,36.936,45.887,27.074,1.926,34.02,0.553,10.741,0.72,0.445,n/a,n/a,n/a,n/a,ok
best.pt,openvino,int8,1,reused,27.703,49.886,36.097,1.507,25.738,0.397,3.386,0.692,0.432,n/a,n/a,n/a,n/a,ok
best.pt,ncnn,fp32,1,reused,34.973,58.556,28.594,2.305,31.528,0.728,10.524,0.718,0.438,n/a,n/a,n/a,n/a,ok
best.pt,ncnn,int8,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,SKIPPED: Ultralytics has no int8 export path for ncnn
best.pt,litert,fp32,1,reused,25.51,32.445,39.2,1.629,23.122,0.565,10.629,0.719,0.436,n/a,n/a,n/a,n/a,ok
best.pt,litert,int8,1,reused,22.807,33.77,43.846,1.884,20.011,0.434,3.042,0.321,0.166,n/a,n/a,n/a,n/a,ok
best.pt,mnn,fp32,1,reused,24.802,25.529,40.319,1.511,22.744,0.399,10.491,0.719,0.436,n/a,n/a,n/a,n/a,ok
best.pt,mnn,int8,1,reused,24.869,26.812,40.21,1.523,22.773,0.41,2.857,0.737,0.455,n/a,n/a,n/a,n/a,ok
