elapsed_s,frames,latency_ms,cpu_temp_c,throttled,clock_arm_hz,power_w
0.0,1,21.16,66.7,throttled=0x0,frequency(0)=2400030464,5.56
5.0,254,19.48,66.7,throttled=0x0,frequency(0)=2400020480,3.87
10.0,505,19.52,68.8,throttled=0x0,frequency(0)=2400027136,3.86
15.0,759,19.34,67.2,throttled=0x0,frequency(0)=2400017408,4.11
20.1,1014,19.38,67.2,throttled=0x0,frequency(0)=2400033792,4.06
25.1,1270,19.5,67.8,throttled=0x0,frequency(0)=2400033792,3.98
30.1,1523,19.66,66.7,throttled=0x0,frequency(0)=2400020480,4.08
35.1,1776,19.37,67.2,throttled=0x0,frequency(0)=2400027136,4.1
40.1,2030,19.36,67.2,throttled=0x0,frequency(0)=2400030464,3.93
45.1,2285,19.19,67.2,throttled=0x0,frequency(0)=2400037120,4.1
50.1,2540,19.15,67.8,throttled=0x0,frequency(0)=2400030464,3.95
55.1,2796,19.4,68.3,throttled=0x0,frequency(0)=2400037120,4.14
60.1,3050,19.37,67.8,throttled=0x0,frequency(0)=2400033792,4.13
65.2,3305,19.74,67.8,throttled=0x0,frequency(0)=2400027136,4.13
70.2,3559,19.34,67.8,throttled=0x0,frequency(0)=2400027136,4.14
75.2,3813,19.47,67.8,throttled=0x0,frequency(0)=2400023808,4.12
80.2,4066,21.74,67.8,throttled=0x0,frequency(0)=2400033792,4.07
85.2,4321,19.45,68.3,throttled=0x0,frequency(0)=2400033792,3.89
90.2,4575,19.8,68.3,throttled=0x0,frequency(0)=2400027136,4.83
95.2,4830,19.39,68.3,throttled=0x0,frequency(0)=2400037120,4.12
100.2,5084,19.68,68.3,throttled=0x0,frequency(0)=2400030464,4.11
105.2,5339,21.46,68.8,throttled=0x0,frequency(0)=2400030464,4.28
110.2,5594,19.36,68.8,throttled=0x0,frequency(0)=2400030464,4.14
115.2,5849,19.4,68.3,throttled=0x0,frequency(0)=2400023808,4.08
120.2,6103,19.7,68.3,throttled=0x0,frequency(0)=2400033792,4.27
125.3,6357,19.46,67.8,throttled=0x0,frequency(0)=2400023808,4.35
130.3,6612,19.39,68.8,throttled=0x0,frequency(0)=2400027136,4.15
135.3,6868,19.4,68.3,throttled=0x0,frequency(0)=2400033792,4.0
140.3,7123,19.3,69.4,throttled=0x0,frequency(0)=2400017408,3.88
145.3,7380,19.18,67.8,throttled=0x0,frequency(0)=2400023808,4.13
150.3,7637,19.78,68.8,throttled=0x0,frequency(0)=2400020480,4.41
155.3,7893,19.33,69.4,throttled=0x0,frequency(0)=2400033792,4.17
160.3,8149,19.38,69.4,throttled=0x0,frequency(0)=2400017408,3.93
165.3,8407,19.19,68.8,throttled=0x0,frequency(0)=2400037120,4.01
170.3,8665,19.04,69.4,throttled=0x0,frequency(0)=2400027136,4.16
175.4,8923,19.27,68.8,throttled=0x0,frequency(0)=2400030464,4.18
180.4,9179,19.74,68.8,throttled=0x0,frequency(0)=2400030464,4.18
185.4,9432,19.29,68.8,throttled=0x0,frequency(0)=2400030464,4.11
190.4,9689,19.33,69.4,throttled=0x0,frequency(0)=2400027136,5.1
195.4,9946,19.22,69.4,throttled=0x0,frequency(0)=2400023808,4.15
200.4,10202,19.12,68.3,throttled=0x0,frequency(0)=2400030464,4.25
205.4,10456,19.13,68.3,throttled=0x0,frequency(0)=2400033792,4.15
210.5,10712,19.83,68.8,throttled=0x0,frequency(0)=2400033792,4.14
215.5,10967,19.33,70.0,throttled=0x0,frequency(0)=2400030464,4.13
220.5,11223,19.25,69.4,throttled=0x0,frequency(0)=2400027136,4.2
225.5,11479,19.57,68.8,throttled=0x0,frequency(0)=2400023808,4.13
230.5,11735,19.22,70.0,throttled=0x0,frequency(0)=2400017408,4.12
235.5,11991,19.31,70.5,throttled=0x0,frequency(0)=2400027136,4.11
240.5,12247,19.71,70.5,throttled=0x0,frequency(0)=2400023808,4.14
245.6,12502,19.54,69.4,throttled=0x0,frequency(0)=2400030464,4.15
250.6,12757,19.88,70.0,throttled=0x0,frequency(0)=2400020480,4.22
255.6,13013,19.27,69.4,throttled=0x0,frequency(0)=2400030464,4.2
260.6,13266,19.42,69.4,throttled=0x0,frequency(0)=2400017408,4.18
265.6,13521,20.09,70.5,throttled=0x0,frequency(0)=2400023808,4.16
270.6,13777,19.4,71.0,throttled=0x0,frequency(0)=2400017408,4.22
275.6,14032,19.26,70.0,throttled=0x0,frequency(0)=2400033792,4.12
280.6,14288,19.47,69.4,throttled=0x0,frequency(0)=2400020480,4.31
285.6,14544,19.48,70.0,throttled=0x0,frequency(0)=2400027136,3.93
290.6,14798,19.17,70.0,throttled=0x0,frequency(0)=2400020480,4.15
295.6,15053,19.38,70.0,throttled=0x0,frequency(0)=2400017408,3.96
300.6,15305,19.54,70.5,throttled=0x0,frequency(0)=2400023808,4.78
305.7,15560,19.53,70.0,throttled=0x0,frequency(0)=2400023808,4.18
310.7,15816,19.22,70.0,throttled=0x0,frequency(0)=2400027136,4.36
315.7,16072,19.29,69.4,throttled=0x0,frequency(0)=2400020480,4.14
320.7,16321,19.46,70.0,throttled=0x0,frequency(0)=2400020480,4.16
325.7,16575,19.44,70.5,throttled=0x0,frequency(0)=2400030464,3.95
330.7,16830,19.26,71.0,throttled=0x0,frequency(0)=2400027136,4.29
335.7,17086,19.26,69.4,throttled=0x0,frequency(0)=2400033792,4.15
340.7,17342,19.46,70.0,throttled=0x0,frequency(0)=2400023808,4.26
345.7,17597,19.4,70.5,throttled=0x0,frequency(0)=2400020480,4.29
350.7,17853,19.48,70.5,throttled=0x0,frequency(0)=2400027136,4.22
355.7,18110,19.2,70.0,throttled=0x0,frequency(0)=2400017408,3.92
360.7,18367,19.63,70.0,throttled=0x0,frequency(0)=2400020480,4.87
365.7,18621,19.37,70.5,throttled=0x0,frequency(0)=2400023808,4.15
370.8,18877,19.54,71.6,throttled=0x0,frequency(0)=2400023808,4.21
375.8,19131,19.47,70.5,throttled=0x0,frequency(0)=2400023808,4.23
380.8,19388,20.21,70.5,throttled=0x0,frequency(0)=2400030464,4.26
385.8,19643,19.38,70.5,throttled=0x0,frequency(0)=2400027136,4.18
390.8,19898,19.51,71.0,throttled=0x0,frequency(0)=2400033792,4.15
395.8,20151,19.56,70.5,throttled=0x0,frequency(0)=2400017408,4.86
400.8,20407,19.28,70.0,throttled=0x0,frequency(0)=2400030464,3.95
405.8,20662,19.3,70.5,throttled=0x0,frequency(0)=2400023808,3.94
410.8,20917,19.5,70.5,throttled=0x0,frequency(0)=2400017408,3.94
415.8,21171,19.71,71.6,throttled=0x0,frequency(0)=2400017408,3.96
420.8,21426,19.45,70.5,throttled=0x0,frequency(0)=2400023808,4.18
425.9,21681,19.39,71.0,throttled=0x0,frequency(0)=2400030464,4.16
430.9,21939,19.23,71.0,throttled=0x0,frequency(0)=2400020480,4.3
435.9,22196,19.25,71.0,throttled=0x0,frequency(0)=2400027136,4.21
440.9,22453,19.32,71.0,throttled=0x0,frequency(0)=2400017408,3.95
445.9,22706,19.59,71.0,throttled=0x0,frequency(0)=2400023808,4.04
450.9,22961,19.17,71.6,throttled=0x0,frequency(0)=2400033792,4.16
455.9,23216,19.21,70.5,throttled=0x0,frequency(0)=2400023808,4.21
460.9,23470,19.39,72.2,throttled=0x0,frequency(0)=2400030464,4.24
465.9,23725,19.71,71.0,throttled=0x0,frequency(0)=2400020480,5.02
471.0,23981,19.33,71.0,throttled=0x0,frequency(0)=2400020480,4.0
476.0,24236,19.35,71.6,throttled=0x0,frequency(0)=2400020480,4.21
481.0,24490,21.32,71.6,throttled=0x0,frequency(0)=2400033792,4.21
486.0,24744,19.39,70.5,throttled=0x0,frequency(0)=2400037120,4.22
491.0,25000,19.24,71.0,throttled=0x0,frequency(0)=2400017408,4.19
496.0,25255,19.29,71.0,throttled=0x0,frequency(0)=2400017408,4.17
501.0,25510,19.41,70.5,throttled=0x0,frequency(0)=2400023808,4.01
506.0,25764,19.49,72.2,throttled=0x0,frequency(0)=2400020480,4.42
511.0,26019,19.28,71.0,throttled=0x0,frequency(0)=2400023808,4.23
516.0,26274,19.32,71.0,throttled=0x0,frequency(0)=2400037120,4.21
521.0,26530,19.38,70.5,throttled=0x0,frequency(0)=2400033792,3.99
