elapsed_s,frames,latency_ms,cpu_temp_c,throttled,clock_arm_hz,power_w
0.0,1,21.09,67.8,throttled=0x0,frequency(0)=2400033792,4.15
5.0,264,19.18,66.7,throttled=0x0,frequency(0)=2400037120,4.04
10.0,524,19.03,66.1,throttled=0x0,frequency(0)=2400017408,3.89
15.0,784,19.0,66.7,throttled=0x0,frequency(0)=2400023808,3.86
20.1,1044,19.18,67.2,throttled=0x0,frequency(0)=2400023808,4.05
25.1,1304,19.1,66.1,throttled=0x0,frequency(0)=2400027136,3.83
30.1,1564,19.19,66.1,throttled=0x0,frequency(0)=2400027136,4.17
35.1,1824,19.22,66.1,throttled=0x0,frequency(0)=2400027136,4.06
40.1,2084,19.12,66.1,throttled=0x0,frequency(0)=2400030464,4.15
45.1,2344,19.03,65.5,throttled=0x0,frequency(0)=2400023808,3.85
50.1,2602,19.92,66.1,throttled=0x0,frequency(0)=2400027136,5.28
55.1,2860,19.26,66.1,throttled=0x0,frequency(0)=2400033792,3.87
60.1,3119,19.22,66.1,throttled=0x0,frequency(0)=2400037120,4.09
65.2,3377,19.15,66.7,throttled=0x0,frequency(0)=2400030464,4.16
70.2,3635,19.09,66.7,throttled=0x0,frequency(0)=2400027136,4.12
75.2,3894,19.28,66.1,throttled=0x0,frequency(0)=2400033792,4.09
80.2,4153,19.27,66.7,throttled=0x0,frequency(0)=2400023808,4.11
85.2,4411,19.19,66.7,throttled=0x0,frequency(0)=2400027136,3.93
90.2,4670,19.5,67.2,throttled=0x0,frequency(0)=2400030464,4.13
95.2,4928,19.1,66.1,throttled=0x0,frequency(0)=2400030464,4.12
100.2,5187,19.13,67.2,throttled=0x0,frequency(0)=2400023808,4.09
105.2,5447,19.07,67.2,throttled=0x0,frequency(0)=2400020480,3.85
110.3,5707,19.25,67.2,throttled=0x0,frequency(0)=2400030464,3.92
115.3,5966,19.23,66.7,throttled=0x0,frequency(0)=2400023808,4.62
120.3,6226,19.26,67.2,throttled=0x0,frequency(0)=2400023808,4.13
125.3,6484,19.01,67.2,throttled=0x0,frequency(0)=2400033792,4.08
130.3,6742,19.12,66.7,throttled=0x0,frequency(0)=2400023808,4.14
135.3,7001,18.99,67.2,throttled=0x0,frequency(0)=2400030464,4.1
140.3,7260,19.07,66.7,throttled=0x0,frequency(0)=2400027136,3.87
145.3,7520,19.16,66.7,throttled=0x0,frequency(0)=2400023808,3.87
150.3,7780,19.24,67.8,throttled=0x0,frequency(0)=2400027136,4.1
155.3,8040,19.13,67.8,throttled=0x0,frequency(0)=2400023808,4.07
160.4,8300,19.02,67.2,throttled=0x0,frequency(0)=2400027136,4.09
165.4,8560,18.94,67.8,throttled=0x0,frequency(0)=2400023808,4.18
170.4,8820,19.13,68.3,throttled=0x0,frequency(0)=2400033792,3.97
175.4,9078,18.97,66.7,throttled=0x0,frequency(0)=2400030464,3.88
180.4,9338,19.32,67.8,throttled=0x0,frequency(0)=2400033792,4.09
185.4,9598,19.07,68.3,throttled=0x0,frequency(0)=2400020480,4.1
190.4,9858,19.14,67.8,throttled=0x0,frequency(0)=2400023808,4.12
195.4,10118,19.15,67.8,throttled=0x0,frequency(0)=2400030464,4.08
200.4,10378,18.9,68.8,throttled=0x0,frequency(0)=2400023808,3.9
205.4,10637,19.07,68.3,throttled=0x0,frequency(0)=2400020480,3.83
210.4,10897,19.0,67.8,throttled=0x0,frequency(0)=2400027136,4.09
215.4,11156,19.14,67.8,throttled=0x0,frequency(0)=2400030464,4.09
220.4,11415,19.1,67.8,throttled=0x0,frequency(0)=2400027136,4.09
225.5,11675,19.03,67.2,throttled=0x0,frequency(0)=2400020480,4.09
230.5,11934,19.35,67.8,throttled=0x0,frequency(0)=2400023808,3.93
235.5,12193,19.04,67.8,throttled=0x0,frequency(0)=2400033792,3.92
240.5,12453,19.16,67.2,throttled=0x0,frequency(0)=2400020480,4.06
245.5,12713,19.14,68.3,throttled=0x0,frequency(0)=2400030464,4.56
250.5,12972,19.22,67.8,throttled=0x0,frequency(0)=2400027136,4.1
255.5,13231,19.1,67.8,throttled=0x0,frequency(0)=2400030464,4.13
260.5,13490,19.18,68.3,throttled=0x0,frequency(0)=2400020480,3.88
265.5,13749,19.12,69.4,throttled=0x0,frequency(0)=2400030464,4.15
