elapsed_s,frames,latency_ms,cpu_temp_c,throttled,clock_arm_hz,power_w
0.0,1,23.9,67.8,throttled=0x80000,frequency(0)=2400027136,4.14
5.0,223,23.25,67.2,throttled=0x80000,frequency(0)=2400030464,4.08
10.1,444,20.58,67.2,throttled=0x80000,frequency(0)=2400020480,4.05
15.1,664,17.79,66.7,throttled=0x80000,frequency(0)=2400017408,4.03
20.1,885,22.21,67.2,throttled=0x80000,frequency(0)=2400033792,3.88
25.1,1103,22.29,67.2,throttled=0x80000,frequency(0)=2400033792,3.85
30.1,1323,22.81,67.8,throttled=0x80000,frequency(0)=2400023808,4.08
35.1,1548,22.09,67.2,throttled=0x80000,frequency(0)=2400023808,4.06
40.1,1772,22.17,67.2,throttled=0x80000,frequency(0)=2400027136,4.1
45.2,1993,22.78,67.2,throttled=0x80000,frequency(0)=2400020480,4.06
50.2,2212,22.94,67.8,throttled=0x80000,frequency(0)=2400023808,3.83
55.2,2430,22.9,67.2,throttled=0x80000,frequency(0)=2400033792,3.92
60.2,2649,22.3,67.8,throttled=0x80000,frequency(0)=2400027136,4.07
65.2,2874,20.66,67.8,throttled=0x80000,frequency(0)=2400030464,4.1
70.2,3105,22.25,67.2,throttled=0x80000,frequency(0)=2400027136,3.86
75.2,3338,20.67,67.2,throttled=0x80000,frequency(0)=2400033792,4.08
80.2,3564,21.96,67.2,throttled=0x80000,frequency(0)=2400037120,3.84
85.3,3790,22.28,67.8,throttled=0x80000,frequency(0)=2400030464,4.03
90.3,4013,20.58,67.8,throttled=0x80000,frequency(0)=2400037120,4.1
95.3,4255,22.42,67.8,throttled=0x80000,frequency(0)=2400020480,4.13
100.3,4473,23.02,67.8,throttled=0x80000,frequency(0)=2400037120,4.05
105.3,4690,23.04,68.3,throttled=0x80000,frequency(0)=2400027136,4.5
110.3,4907,23.0,67.8,throttled=0x80000,frequency(0)=2400033792,3.87
115.3,5124,23.22,68.3,throttled=0x80000,frequency(0)=2400023808,3.9
120.3,5339,23.6,67.8,throttled=0x80000,frequency(0)=2400033792,4.11
125.3,5554,23.13,68.3,throttled=0x80000,frequency(0)=2400023808,4.12
130.3,5769,23.19,67.8,throttled=0x80000,frequency(0)=2400033792,3.87
135.3,5985,23.01,67.8,throttled=0x80000,frequency(0)=2400027136,3.87
140.4,6201,23.05,67.8,throttled=0x80000,frequency(0)=2400030464,3.86
145.4,6418,23.09,67.8,throttled=0x80000,frequency(0)=2400027136,3.87
150.4,6635,23.1,67.8,throttled=0x80000,frequency(0)=2400023808,4.12
155.4,6851,23.03,67.8,throttled=0x80000,frequency(0)=2400030464,4.11
160.4,7067,23.01,67.2,throttled=0x80000,frequency(0)=2400017408,4.1
165.4,7283,23.27,68.3,throttled=0x80000,frequency(0)=2400030464,4.08
170.4,7499,23.06,67.8,throttled=0x80000,frequency(0)=2400030464,4.08
175.4,7716,23.0,67.8,throttled=0x80000,frequency(0)=2400027136,4.07
180.4,7933,23.15,67.8,throttled=0x80000,frequency(0)=2400027136,4.27
185.4,8150,23.18,67.8,throttled=0x80000,frequency(0)=2400027136,4.05
190.4,8366,23.09,67.8,throttled=0x80000,frequency(0)=2400017408,3.84
